"","from_id","from_name","message","created_time","type","link","id","story","likes_count","comments_count","shares_count"
"1","232716627404","陳菊 (花媽) 市長","迎接2018，你準備好了嗎？！
2018高雄夢時代跨年派對倒數計時中！

●交通管制資訊：
‧由於舉辦跨年活動，時代大道跨年派對周邊自106年12月31日8時起至107年1月1日2時止，成功二路(含)以東、林森四路以南、中山三路以西、新凱旋四路以北實施三階段交通管制，管制區內禁止車輛通行及停放，周邊將加強拖吊、取締違規停車。

‧交通管制路線：https://goo.gl/QTT57p

●交通運輸資訊：
‧包括高雄捷運、高雄輕軌加密班次及延後收班，捷運沿線多線接駁公車也配合延長營運時間，並協調台鐵於散場時加開北上（台南）3班次列車，當日時代大道周邊將進行交通管制，請開車民眾將車輛停放於捷運7大轉乘停車場轉乘捷運(延後收班至凌晨2時)或輕軌(延後收班至凌晨1時30分)，再步行往返會場。

‧捷運將延長營運時間至元旦凌晨2時，加密班次至3分一班；輕軌將延長營運時間至元旦凌晨1時30分且配合舞台佈設，12月31日當日至元旦凌晨收班止，輕軌夢時代站不提供上、下車，請民眾改至輕軌凱旋中華站上、下車；市區公車包括12、69、紅2、紅3、紅9、三多幹線(70)、環狀幹線(168)、中華幹線(205)等配合延後收班，12月31日23時30分至元旦凌晨1時班距為30分鐘，凌晨1時至2時班距為60分鐘。

‧持電子票證搭乘市區公車、公路客運、輕軌一律免費

‧捷運紅線搭至【R6凱旋站】或輕軌搭至【C4凱旋中華站】步行可達跨年活動會場

‧輕軌【C5夢時代站】12/31-1/1跨年活動期間不開放上下車
‧捷運紅橘線末班車延後至1/1 02:00自各端點站發車

‧12/31 13:00起至1/1 02:00間，全系統暫停販售腳踏車客票

‧跨年期間「捷運左營站」末班車資訊：
(1)左營往南岡山方向末班車1/1 02:28發車
(2)左營往小港方向末班車1/1 02:18發車

‧台鐵高雄站跨年夜循例加開北上01:08往台南、01:30往嘉義、南下01:26往潮州之區間車

以上活動交通疏導管制措施可至高雄市政府交通局網頁查詢交通指南，台鐵詳細加班列車資訊請至台鐵網頁查詢。

●轉播資訊
‧高雄款臉書19:00起同步轉播
‧四季線上影視、YouTube、Hit fm90.1高屏電台19:00起同步轉播
‧民視無線台22:00實況轉播

‧轉播資訊：https://goo.gl/LsKuaA

●注意及禁止資訊：
‧警方將加強取締販售發光氣球等流動攤販
‧嚴禁攜帶氣球或其他危險物品
‧禁止施放信號彈
‧嚴格管制未申請之空拍機進入

在此呼籲所有參加2018夢時代跨年派對的朋友，請多搭乘捷運、輕軌及公車前往時代大道跨年會場喔！

我們今晚見，一起迎接2018！
---
●2018高雄夢時代跨年派對：
http://www.2018kaohsiung.com/
https://goo.gl/CxpSsJ
●高雄市政府新聞局：
https://goo.gl/xUjwCz
https://goo.gl/1CdB14
●高雄市政府交通局：
https://goo.gl/6ooLSw
●台灣鐵路管理局：
https://goo.gl/oebjFx","2017-12-30T22:00:00+0000","photo","https://www.facebook.com/kikuChen/photos/a.248871532404.136154.232716627404/10155211389132405/?type=3","232716627404_10155211396872405","陳菊 (花媽) 市長 added 3 new photos.",2324,35,58
"2","232716627404","陳菊 (花媽) 市長","毒品防制是拯救下一代的工作，救一個人就能救一個家庭。因此，高雄市對毒品防制的工作不遺餘力，自103年起一直是全國視導特優的縣市，而為了更加提升高雄防毒效能，我們將於107年1月1日成立全國第一個「毒品防制局」。而今天是我們毒品防制局成立揭牌的日子，見證台灣毒品防制工作跨時代的躍進。

「高雄市政府毒品防制局」設有三科一室，統籌高雄市整體毒品防制策略，從前端預防至後端輔導處遇的完整規劃與推動執行，避免毒品防制工作形成多頭馬車。並與「高雄市毒品防制會報」、「財團法人高雄市毒品防制事務基金會」，成為高雄市特有的毒品防制金三角架構。

毒防局將優先建置智慧資訊平台，建構毒品大數據分析運用，建立由下而上的濫用通報網，繼而依實證研究擬定市府毒品防制政策。另外，防制工作也與國際接軌，積極參與國際學術研究交流，也在國內分享傳承，旁徵博引不同文化的輔導處遇方式，進一步研創本土化戒癮模式。

這是一場拯救下一個世代的任務,而我們必須馬上行動，感謝高雄市議長及議會的支持，讓市府團隊有機會為我們的下一代努力，也感謝法務部、衛福部及毒品防制網絡單位的協助。

我也要在這裡請市民朋友與我們一起攜手反毒，讓高雄免於毒害。","2017-12-29T08:00:55+0000","photo","https://www.facebook.com/kikuChen/photos/a.248871532404.136154.232716627404/10155207925567405/?type=3","232716627404_10155207927017405","陳菊 (花媽) 市長 added 4 new photos.",2104,41,35
"3","232716627404","陳菊 (花媽) 市長","岡山魚市場建成迄今，使用已逾50年，除建物老舊外，拍賣場亦不敷使用。所以自縣市合併後，市府團隊與高雄縣魚類公會及漁業署詳細評估討論，決定興建一棟新穎、環保、現代化、符合使用需求的魚市場，讓所有的工作人員安心上工，消費者也放心採購。

岡山魚市場是高雄主要養殖魚類交易場所，更是高屏地區僅存消費地魚市場，年交易量1萬3千噸。未來新建的岡山魚市場將與岡山肉品、家禽市場相鄰，形成農漁專區，成為國內最大農產品批發中心。此外，我們也會落實國際標準HACCP制度，並輔導承銷人取得認證，加強食品安全，成為漁貨不落地的魚市場，為消費者舒適、便利又衛生的採買環境。

在魚市場完工後，我們也會持續輔導岡山魚市場公司打造「冷凍倉儲中心」及「展示推廣物流中心」，做魚市場經營的指標模範，以現代化農漁產品快速集中分散需求，提昇產品之流通性，增加競爭力。","2017-12-28T10:11:26+0000","photo","https://www.facebook.com/kikuChen/photos/a.248871532404.136154.232716627404/10155205633422405/?type=3","232716627404_10155205633627405","陳菊 (花媽) 市長 added 4 new photos.",1800,34,26
"4","232716627404","陳菊 (花媽) 市長","本次市政會議，市府有多個局處參加比賽及評鑑，包括我們參加第十七屆公共工程金質獎，共獲得2座特優獎、1座佳作獎，為地方政府表現最佳；行政院公共工程委員會評定施工查核績效－優等獎(全國第2名)；參加「第九屆健康城市暨高齡友善城市獎項評選」，拿下健康暨高齡友善城市15項創新成果獎佳績，獲獎率為全國最高； 106年度區里推動資源回收工作績效評比計畫區公所特優獎；以及「第11屆農金獎」和「全國十大績優農業產銷班」等，成績斐然，感謝市府團隊的用心與努力，讓高雄市的璀璨，閃耀全國，也感謝所有市民朋友的支持與鼓勵，讓市府團隊在施政上更具信心，也更有動力前進。

另外，我們還要特別表揚我們桃源區衛生所邱孟肇所長，榮獲台灣最崇高的醫療獎--第27屆醫療奉獻獎。邱所長被譽為布農族守護神，從事基層醫療工作，數十年如一日，值得敬佩，所以我們頒獎表揚其無私奉獻，更期許有更多人效法邱所長的精神與貢獻，讓我們的社會充滿更多愛。
--
獲獎內容：
※第十七屆公共工程金質獎
●捷運局：輕軌(愛河高架橋段)‧土木類全國唯一特優獎
●水利局：柴山滯洪池公園‧水利類特優獎
●新工處：潮寮國中校舍改建‧建築類佳作獎。

本屆全國計有59件工程參選，僅7件獲特優獎，高市府榮獲2件，實屬不易。

※行政院公共工程委員會評定施工查核績效
●研考會：優等獎(全國第2名) 

※「第九屆健康城市暨高齡友善城市獎項評選」
●由衛福部國民健康署主辦「第九屆健康城市暨高齡友善城市獎項評選」，高雄市政府衛生局、工務局、社會局、教育局、農業局、水利局、海洋局、都發局及交通局，拿下健康暨高齡友善城市15項創新成果獎佳績，獲獎率為全國最高。

※106年度區里推動資源回收工作績效評比計畫
●自縣市合併後，市府積極規劃推動各項資源回收新政策，自85年力行資源回收垃圾減量政策後，資源回收率由90年8.39%增加至105年為47.01％，平均每人每日垃圾清運量由90年的0.84公斤降至到105年的0.39公斤。

106年度區里推動資源回收工作績效評比計畫，共有48個里獲得特優、優等、甲等及特別獎，包括鼓山區公所、楠梓區公所、阿蓮區公所、彌陀區公所、六龜區公所及阿蓮區公所。 

※農金獎
●為建構完整及安全之農業金融體系，健全農漁會信用部經營體質，農業委員會舉辦「第11屆農金獎」競賽，以公開表揚方式肯定農漁會信用部降低逾期放款，改進營運及提升服務績效方面所投入之努力，本市共有2家農會獲獎。

※全國十大績優農業產銷班
●農委會推動「強化產銷班隊企業化，健全農民組織」之政策，每兩年舉辦 1 次全國十大績優農業產銷班選拔活動。本市從全國6,300多個農業產銷班競爭激烈中脫穎而出，共2班獲得全國十大績優產銷班，1班獲得全國優良產銷班。","2017-12-27T07:06:45+0000","photo","https://www.facebook.com/kikuChen/photos/a.248871532404.136154.232716627404/10155203156967405/?type=3","232716627404_10155203159127405","陳菊 (花媽) 市長 added 5 new photos.",1555,30,19
"5","232716627404","陳菊 (花媽) 市長","【高雄市長陳菊就職11周年記者會】

11年來，4千個日子裡，每一天對我與市府團隊來說都戰戰兢兢，我們一步一腳印地實現我們的施政價值。

看到這座城市一年比一年進步，我很欣慰。

感謝市民朋友給我的支持，感謝市府團隊和我一起打拚，高雄繼續前進，謝謝！","2017-12-26T13:00:00+0000","video","https://www.facebook.com/kikuChen/videos/10155200902567405/","232716627404_10155200902567405",NA,5826,149,61
"6","232716627404","陳菊 (花媽) 市長","昨天很高興參加高雄醫學大學附設岡山醫院動土典禮，看到高雄醫學大學在大岡山區設立醫療院所，這也是大岡山區第一個醫學中心層級設立的醫療院所，將提升大岡山區醫療資源與照護服務品質。

要感謝高雄醫學大學60多年深耕高雄，大大提升醫院經營效率及並造福高雄市民就醫之便利性。除了高醫附設醫院外，也承接本府委託民間經營之市立醫院，購置重裝備醫療儀器設備投資、建構緊急醫療系統、建構友善就醫環境及身心障礙整合性醫療，更積極配合推動「長照2.0」政策，結合本府相關局處將大同醫院鄰近的大同國小部分閒置校舍，整建成全國首創的「大同福樂學堂」日間照護中心，以及規劃長市立旗津醫院期照護機構，預訂明年8月提供長期照護服務，感謝高醫所有團隊的投入，。

高醫岡山醫院未來將同時肩負教學研究與醫療照護任務，以預防醫學為起點，整合慢性照護醫療並成立急重症中心，為北高雄鄉親以及鄰近工業區就業人口提供在地化醫療，所以我相當期待高醫岡山醫院的落成。

市府十分重視地方醫療品質及服務，未來也期盼持續與醫界合作，能提供優質的醫療品質及服務照顧市民的健康，讓高雄成為幸福宜居的城市。","2017-12-26T02:28:17+0000","photo","https://www.facebook.com/kikuChen/photos/a.248871532404.136154.232716627404/10155200417757405/?type=3","232716627404_10155200419847405","陳菊 (花媽) 市長 added 4 new photos.",2264,35,37
"7","232716627404","陳菊 (花媽) 市長","《自來水公司停水通知》

為配合「高雄市政府和發產業園區道路工程」需辦理停電及停水

●預計停水：
【區域一】2017-12-26 20:00至2017-12-27 19:00
●降壓期間：
【區域一】2017-12-26 20:00至2017-12-27 19:00
●恢復供水：
【區域一】2017-12-27 19:00以後
●恢復水壓：
【區域一】2017-12-27 19:00以後
---
停水範圍：
【停水區域一】
●高雄市大社區全部村里
●高雄市大樹區全部村里
●高雄市仁武區全部村里
●高雄市左營區全部村里
●高雄市岡山區全部村里
●高雄市阿蓮區全部村里
●高雄市梓官區全部村里
●高雄市鳥松區仁美里,鳥松里, <U+5754>埔里
●高雄市楠梓區全部村里
●高雄市鼓山區全部村里
●高雄市鳳山區全部村里
●高雄市橋頭區全部村里
●高雄市燕巢區角宿里,鳳雄里

降壓範圍：
【降壓區域一】
●高雄市三民區全部村里
●高雄市大寮區全部村里
●高雄市小港區全部村里
●高雄市永安區全部村里
●高雄市前金區全部村里
●高雄市前鎮區全部村里
●高雄市茄萣區全部村里
●高雄市苓雅區全部村里
●高雄市鳥松區全部村里
●高雄市新興區全部村里
●高雄市旗津區全部村里
●高雄市彌陀區全部村里
●高雄市鹽埕區全部村里
---
【停水期間敬請各位市民朋友配合事項】
●敬請各用戶留意及儘早儲水備用
●請勿將接用水龍頭之橡皮管浸入容器水中
●關閉抽水機電源
●配合節約用水、小心火燭
有任何停水相關問題，
請撥自來水公司客服專線：1910
或撥打1999洽詢。
---
相關資訊：https://goo.gl/8nB4pa","2017-12-25T10:19:43+0000","link","https://goo.gl/8nB4pa","232716627404_10155198458052405",NA,1166,30,158
"8","232716627404","陳菊 (花媽) 市長","【高雄四千天 我們繼續向前】","2017-12-25T07:02:30+0000","status",NA,"232716627404_10155198062712405","陳菊 (花媽) 市長 published a note.",1253,57,2
"9","232716627404","陳菊 (花媽) 市長","今天晚上我來到六龜參加「寶來花賞溫泉公園」開園的活動。莫拉克風災後，六龜一直是高雄市政府重建的重點地區。3年前，市政府向中央爭取經費投入溫泉探勘，終於在去年底成功鑽探到源頭。

探勘到的新泉是品質優良的碳酸氫鹽泉，每天水量達170公噸，除了提供在地業者使用外，市府也希望讓夠讓更多人體驗，所以我們投入打造「寶來花賞溫泉公園」，將溫泉水導入公園，並開闢手湯區與足湯區，配合一千餘株各式花木，未來花木扶疏、百花齊放，大家可以愜意的泡足賞花，我相信絕對會成為國內外遊客來高雄必到景點。

市府會繼續努力，打造更好的生活環境，讓市民朋友可以快樂宜居在高雄。","2017-12-23T15:06:54+0000","photo","https://www.facebook.com/kikuChen/photos/a.10151285260282405.452817.232716627404/10155193665647405/?type=3","232716627404_10155193665797405","陳菊 (花媽) 市長 added 5 new photos.",2381,58,22
"10","232716627404","陳菊 (花媽) 市長","《花媽心內話》新書發表會","2017-12-22T06:12:30+0000","video","https://www.facebook.com/kikuChen/videos/10155190378532405/","232716627404_10155190378532405","陳菊 (花媽) 市長 was live.",3435,285,52
